County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,3954,2083,26,0.0065756,40.71455,-74.00714,2020-03-19 21:57 EDT
Westchester,New York,798,260,0,0,41.1631976,-73.7560629,2020-03-19 21:57 EDT
Nassau,New York,372,94,3,0.0080645,40.7416523,-73.5889962,2020-03-19 21:57 EDT
Suffolk,New York,239,123,3,0.0125523,40.8773281,-72.8589804,2020-03-19 21:57 EDT
Rockland,New York,53,22,1,0.0188679,41.152374,-74.0240103,2020-03-19 21:57 EDT
Orange,New York,51,19,0,0,41.4020682,-74.3055957,2020-03-19 21:57 EDT
Albany,New York,43,7,0,0,42.65155,-73.75521,2020-03-19 21:57 EDT
Dutchess,New York,31,11,0,0,41.7647751,-73.7428168,2020-03-19 21:57 EDT
Monroe,New York,30,11,1,0.0333333,43.1460428,-77.6967491,2020-03-19 21:57 EDT
Erie,New York,28,8,0,0,42.7638212,-78.7322497,2020-03-19 21:57 EDT
Saratoga,New York,21,7,0,0,43.06974,-73.63661,2020-03-19 21:57 EDT
Schenectady,New York,14,0,0,0,42.81238,-73.94122,2020-03-19 21:57 EDT
Ulster,New York,9,0,0,0,41.95986,-73.99033,2020-03-19 21:57 EDT
Onondaga,New York,7,1,0,0,43.00487,-76.1836,2020-03-19 21:57 EDT
Tompkins,New York,6,0,0,0,42.449335,-76.4706436,2020-03-19 21:57 EDT
Putnam,New York,5,3,0,0,41.4265345,-73.7494999,2020-03-19 21:57 EDT
Rensselaer,New York,4,0,0,0,42.7108626,-73.5097379,2020-03-19 21:57 EDT
Niagara,New York,4,4,0,0,43.1999815,-78.7452226,2020-03-19 21:57 EDT
Greene,New York,2,0,0,0,42.2765457,-74.1226159,2020-03-19 21:57 EDT
Montgomery,New York,2,0,0,0,42.9022918,-74.4396009,2020-03-19 21:57 EDT
Allegany,New York,2,0,0,0,42.2573979,-78.0275544,2020-03-19 21:57 EDT
Oneida,New York,2,0,0,0,43.243065,-75.425836,2020-03-19 21:57 EDT
Wyoming,New York,2,1,0,0,42.7024266,-78.2244326,2020-03-19 21:57 EDT
Delaware,New York,1,0,0,0,42.1980433,-74.966352,2020-03-19 21:57 EDT
Herkimer,New York,1,0,0,0,43.0259,-74.98433,2020-03-19 21:57 EDT
Broome,New York,1,0,0,0,42.160218,-75.8196459,2020-03-19 21:57 EDT
Tioga,New York,1,0,0,0,42.06057,-76.34519,2020-03-19 21:57 EDT
Ontario,New York,1,0,0,0,42.8528894,-77.299811,2020-03-19 21:57 EDT
Clinton,New York,1,0,0,0,44.7904,-73.6006,2020-03-19 21:57 EDT
Essex,New York,1,0,0,0,44.107557,-73.7912585,2020-03-19 21:57 EDT
Sullivan,New York,1,0,0,0,41.7163135,-74.7681108,2020-03-19 21:57 EDT
Genesee,New York,1,0,0,0,43.0009402,-78.1936949,2020-03-19 21:57 EDT
Warren,New York,1,0,0,0,43.5592099,-73.8588116,2020-03-19 21:57 EDT
Washington,New York,1,0,0,0,43.3122711,-73.4309623,2020-03-19 21:57 EDT
Hamilton,New York,1,0,0,0,43.6613037,-74.4973357,2020-03-19 21:57 EDT
Chenango,New York,1,0,0,0,42.4934944,-75.6115371,2020-03-19 21:57 EDT
Schoharie,New York,1,1,0,0,42.5882075,-74.4421359,2020-03-19 21:57 EDT
King,Washington,693,131,60,0.0865801,47.4901181,-121.8043324,2020-03-19 21:57 EDT
Snohomish,Washington,348,38,7,0.0201149,47.9124,-122.09306,2020-03-19 21:57 EDT
Pierce,Washington,75,19,1,0.0133333,47.0227081,-122.1014408,2020-03-19 21:57 EDT
Skagit,Washington,18,4,0,0,48.4793302,-121.7280802,2020-03-19 21:57 EDT
Island,Washington,17,1,1,0.0588235,48.1916094,-122.6650075,2020-03-19 21:57 EDT
Kitsap,Washington,12,3,0,0,47.4749622,-122.6085325,2020-03-19 21:57 EDT
Spokane,Washington,9,4,0,0,47.65726,-117.41228,2020-03-19 21:57 EDT
Grant,Washington,8,0,1,0.125,47.1988579,-119.4525987,2020-03-19 21:57 EDT
Whatcom,Washington,7,0,0,0,48.825597,-121.7174182,2020-03-19 21:57 EDT
Yakima,Washington,7,0,0,0,46.60448,-120.50721,2020-03-19 21:57 EDT
Thurston,Washington,6,0,0,0,46.9198058,-122.8298691,2020-03-19 21:57 EDT
Jefferson,Washington,4,0,0,0,47.7481061,-123.6000095,2020-03-19 21:57 EDT
Clark,Washington,4,0,3,0.75,45.7818733,-122.4812785,2020-03-19 21:57 EDT
Kittitas,Washington,4,0,0,0,46.98472,-120.41752,2020-03-19 21:57 EDT
Chelan,Washington,2,0,0,0,47.8670717,-120.6252677,2020-03-19 21:57 EDT
Klickitat,Washington,2,1,0,0,45.8764091,-120.7920397,2020-03-19 21:57 EDT
Benton-Franklin,Washington,2,2,1,0.5,38.55378,-91.00092,2020-03-19 21:57 EDT
Grays Harbor,Washington,1,0,0,0,47.1505523,-123.7737432,2020-03-19 21:57 EDT
Columbia,Washington,1,0,0,0,46.2975768,-117.9078634,2020-03-19 21:57 EDT
Lincoln,Washington,1,0,0,0,47.5730506,-118.4177041,2020-03-19 21:57 EDT
Cowlitz,Washington,1,0,0,0,46.1945405,-122.6783272,2020-03-19 21:57 EDT
Lewis,Washington,1,0,0,0,46.5777949,-122.3929158,2020-03-19 21:57 EDT
Mason,Washington,1,0,0,0,38.61504,-83.80988,2020-03-19 21:57 EDT
Franklin,Washington,1,0,0,0,38.55378,-91.00092,2020-03-19 21:57 EDT
Los Angeles,California,231,41,2,0.008658,34.05349,-118.24532,2020-03-19 21:57 EDT
Santa Clara,California,189,14,6,0.031746,37.35579,-121.95509,2020-03-19 21:57 EDT
San Diego,California,105,45,0,0,32.71568,-117.16171,2020-03-19 21:57 EDT
San Mateo,California,89,9,1,0.011236,37.54704,-122.31485,2020-03-19 21:57 EDT
San Francisco,California,70,19,0,0,37.77712,-122.41964,2020-03-19 21:57 EDT
Orange,California,53,24,0,0,33.78787,-117.85071,2020-03-19 21:57 EDT
Sacramento,California,45,5,3,0.0666667,38.57944,-121.49085,2020-03-19 21:57 EDT
Contra Costa,California,41,2,0,0,37.9179373,-121.9259354,2020-03-19 21:57 EDT
Alameda,California,38,8,0,0,37.76683,-122.2453,2020-03-19 21:57 EDT
Riverside,California,22,6,3,0.1363636,33.98171,-117.37404,2020-03-19 21:57 EDT
San Joaquin,California,17,3,2,0.1176471,37.9347956,-121.2713112,2020-03-19 21:57 EDT
Marin,California,15,0,0,0,38.0718873,-122.7195348,2020-03-19 21:57 EDT
Santa Cruz,California,14,1,0,0,36.97424,-122.03098,2020-03-19 21:57 EDT
Ventura,California,13,3,0,0,34.28082,-119.29232,2020-03-19 21:57 EDT
San Luis Obispo,California,13,6,0,0,35.28579,-120.66275,2020-03-19 21:57 EDT
Placer,California,9,0,1,0.1111111,39.0591356,-120.7536328,2020-03-19 21:57 EDT
Solano,California,8,0,0,0,38.2779336,-121.9272405,2020-03-19 21:57 EDT
Santa Barbara,California,8,6,0,0,34.41938,-119.69905,2020-03-19 21:57 EDT
Tulare,California,7,3,0,0,36.20649,-119.34305,2020-03-19 21:57 EDT
Sonoma,California,6,-2,0,0,38.29188,-122.45728,2020-03-19 21:57 EDT
Yolo,California,5,1,0,0,38.73431,-121.81279,2020-03-19 21:57 EDT
Stanislaus,California,5,0,0,0,37.5593262,-120.9976619,2020-03-19 21:57 EDT
San Bernardino,California,5,2,0,0,34.10524,-117.29412,2020-03-19 21:57 EDT
Kern,California,4,3,0,0,35.3428164,-118.7299395,2020-03-19 21:57 EDT
Monterey,California,4,2,0,0,36.217146,-121.2390196,2020-03-19 21:57 EDT
San Benito,California,3,0,0,0,36.50506,-121.08332,2020-03-19 21:57 EDT
Fresno,California,3,1,0,0,36.74084,-119.78552,2020-03-19 21:57 EDT
Calaveras,California,2,0,0,0,38.2047357,-120.5540655,2020-03-19 21:57 EDT
Imperial,California,2,0,0,0,32.84748,-115.56952,2020-03-19 21:57 EDT
Humboldt,California,1,0,0,0,40.698798,-123.8737147,2020-03-19 21:57 EDT
Madera,California,1,0,0,0,36.96205,-120.06399,2020-03-19 21:57 EDT
Shasta,California,1,0,0,0,40.59828,-122.49095,2020-03-19 21:57 EDT
Nevada,California,1,0,0,0,39.2616,-121.0161,2020-03-19 21:57 EDT
Mendocino,California,1,1,0,0,39.4402406,-123.3912784,2020-03-19 21:57 EDT
Bergen,New Jersey,195,81,2,0.0102564,40.9594915,-74.074442,2020-03-19 21:57 EDT
Middlesex,New Jersey,64,24,0,0,40.57936,-74.50067,2020-03-19 21:57 EDT
Essex,New Jersey,63,18,1,0.015873,40.7877926,-74.2476006,2020-03-19 21:57 EDT
Hudson,New Jersey,55,21,1,0.0181818,40.7403423,-74.0741097,2020-03-19 21:57 EDT
Monmouth,New Jersey,43,11,1,0.0232558,40.2600411,-74.2219463,2020-03-19 21:57 EDT
Passaic,New Jersey,38,20,0,0,40.86034,-74.12374,2020-03-19 21:57 EDT
Ocean,New Jersey,33,25,0,0,39.9092743,-74.2969653,2020-03-19 21:57 EDT
Union,New Jersey,29,3,0,0,40.69635,-74.26957,2020-03-19 21:57 EDT
Morris,New Jersey,26,7,0,0,40.862019,-74.5442741,2020-03-19 21:57 EDT
Somerset,New Jersey,21,5,0,0,40.49859,-74.52249,2020-03-19 21:57 EDT
Mercer,New Jersey,20,5,0,0,40.2833191,-74.7015737,2020-03-19 21:57 EDT
Burlington,New Jersey,14,4,0,0,40.07687,-74.85775,2020-03-19 21:57 EDT
Camden,New Jersey,13,5,0,0,39.94525,-75.11913,2020-03-19 21:57 EDT
Hunterdon,New Jersey,8,2,0,0,40.5672532,-74.9121792,2020-03-19 21:57 EDT
Warren,New Jersey,3,2,0,0,40.8573236,-74.997063,2020-03-19 21:57 EDT
Atlantic,New Jersey,3,0,0,0,39.4806564,-74.6726431,2020-03-19 21:57 EDT
Gloucester,New Jersey,2,0,0,0,39.7172011,-75.1416437,2020-03-19 21:57 EDT
Sussex,New Jersey,2,2,0,0,41.139345,-74.6906776,2020-03-19 21:57 EDT
Cape May,New Jersey,1,1,0,0,38.93547,-74.92137,2020-03-19 21:57 EDT
Dade,Florida,101,101,0,0,25.7788537,-80.1799651,2020-03-19 21:57 EDT
Broward,Florida,96,24,1,0.0104167,26.1522454,-80.4870534,2020-03-19 21:57 EDT
Palm Beach,Florida,29,10,0,0,26.70288,-80.03661,2020-03-19 21:57 EDT
Hillsborough,Florida,20,6,0,0,27.930231,-82.3078553,2020-03-19 21:57 EDT
Orange,Florida,19,10,2,0.1052632,41.33141,-74.35667,2020-03-19 21:57 EDT
Collier,Florida,18,5,0,0,26.1162556,-81.3401333,2020-03-19 21:57 EDT
Pinellas,Florida,16,6,0,0,27.9313392,-82.7219403,2020-03-19 21:57 EDT
